,number,ruleID,attribute_426,attribute_427,attribute_428,attribute_429,attribute_430,attribute_431,attribute_432,attribute_433,attribute_434,attribute_435,attribute_436,attribute_437,attribute_438,attribute_439,attribute_440,attribute_441,attribute_442,attribute_443,attribute_444,attribute_445,attribute_446,attribute_447,attribute_448,attribute_449,attribute_450,attribute_451,attribute_452,attribute_453,attribute_454,attribute_455,attribute_456,attribute_457,attribute_458,attribute_459
62,63.0,1940.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,7.0,5.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
63,64.0,1941.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,6.0,4.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
64,65.0,1942.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,4.0,5.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
65,66.0,1943.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,5.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
66,67.0,1944.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,2.0,0.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
67,68.0,1945.0,,,,,,5000.0,,,,,,,3.0,1.0,2.0,3.0,3.0,,0.0,0.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
68,69.0,1946.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,1.0,7.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
69,70.0,1947.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,7.0,6.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
70,71.0,1948.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,6.0,8.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
71,72.0,1949.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,4.0,1.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
72,73.0,1950.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,5.0,1.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
73,74.0,1951.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,2.0,1.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
74,75.0,1952.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,0.0,1.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
75,76.0,1953.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,1.0,5.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
76,77.0,1954.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,7.0,5.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
77,78.0,1955.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,6.0,4.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
78,79.0,1956.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,4.0,5.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
79,80.0,1957.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,5.0,2.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
80,81.0,1958.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,2.0,0.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
81,82.0,1959.0,,,,,,,5000.0,,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,0.0,0.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
82,83.0,1960.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,1.0,7.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
83,84.0,1961.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,7.0,6.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
84,85.0,1962.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,6.0,8.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
85,86.0,1963.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,4.0,1.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
86,87.0,1964.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,5.0,1.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
87,88.0,1965.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,2.0,1.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
88,89.0,1966.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,0.0,1.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
89,90.0,1967.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,1.0,5.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
90,91.0,1968.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,7.0,5.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
91,92.0,1969.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,6.0,4.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
92,93.0,1970.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,4.0,5.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
93,94.0,1971.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,5.0,2.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
94,95.0,1972.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,2.0,0.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
95,96.0,1973.0,,,,,,,,5000.0,,,,,3.0,1.0,2.0,3.0,3.0,,3.0,3.0,0.0,0.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
96,97.0,1974.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
97,98.0,1975.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,1.0,6.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
98,99.0,1976.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
99,100.0,1977.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
100,101.0,1978.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,7.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
101,102.0,1979.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
102,103.0,1980.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
103,104.0,1981.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,6.0,8.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
104,105.0,1982.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
105,106.0,1983.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
106,107.0,1984.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,4.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
107,108.0,1985.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,5.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
108,109.0,1986.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,5.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
109,110.0,1987.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,5.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
110,111.0,1988.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,2.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
111,112.0,1989.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,2.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
112,113.0,1990.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,2.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
113,114.0,1991.0,,,,,,,,,,,,,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,0.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
114,115.0,1992.0,,,,,,,,,,,,,7.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,0.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
115,116.0,1993.0,,,,,,,,,,,,,6.0,1.0,2.0,3.0,3.0,,3.0,3.0,3.0,0.0,7.0,20000.0,,,,,,3.0,3.0,3.0,3.0,2.0
